High,Month,Model_ID,AI_Service,Department,Transactions_Processed,Accuracy_Score,Prediction_Confidence,Bias_Flag_Count,Manual_Override_Count,Customer_Complaints,Compliance_Violations,Cloud_Resource_Cost,Avg_Response_Time,Failed_Decisions,Risk_Level,Compliance_Status,Region
RID0001,Oct,M102,Customer Support Chatbot,HR,4287,84.94,85.76,5,5,19,4,8862,7.72,110,High,Violation,Scotland
RID0002,Jan,M104,Loan Approval AI,Finance,1261,75.41,77.81,7,30,24,4,6370,6.93,188,Critical,Violation,Midlands
RID0003,Oct,M102,Customer Support Chatbot,Operations,2892,74.21,77.58,8,18,23,5,7633,5.3,192,Critical,Violation,North UK
RID0004,May,M101,Resume Screening AI,Finance,3555,88.44,88.76,10,59,15,4,8005,3.3,80,High,Violation,London
RID0005,Dec,M105,Inventory Forecast AI,HR,852,80.53,81.31,1,31,13,4,14092,2.76,147,High,Violation,London
RID0006,Jun,M105,Inventory Forecast AI,HR,1955,79.91,81.97,2,29,25,5,11750,1.52,145,High,Violation,Scotland
RID0007,Feb,M104,Loan Approval AI,Operations,841,75.6,78.36,5,14,13,2,4639,5.83,186,Critical,Review Required,London
RID0008,Jan,M102,Customer Support Chatbot,Operations,1815,72.3,75,7,52,47,4,3982,7.23,212,Critical,Violation,North UK
RID0009,Dec,M101,Resume Screening AI,Operations,1510,84.21,85.77,12,23,13,3,4379,4.24,112,Critical,Review Required,Midlands
RID0010,Oct,M105,Inventory Forecast AI,HR,3450,72.81,76.27,7,39,20,3,10994,3.64,202,Critical,Review Required,North UK
RID0011,Nov,M104,Loan Approval AI,Operations,2590,69.48,73.3,4,20,11,2,3119,2.02,231,Critical,Review Required,Scotland
RID0012,Nov,M102,Customer Support Chatbot,Sales,4378,72.36,75.49,8,60,33,2,3466,5.35,210,Critical,Review Required,North UK
RID0013,Jul,M102,Customer Support Chatbot,HR,4511,78.89,80.69,5,53,19,1,3805,6.33,154,High,Review Required,North UK
RID0014,Mar,M102,Customer Support Chatbot,Finance,2693,89.27,89.57,6,32,17,1,6372,10.29,71,Medium,Review Required,Midlands
RID0015,Feb,M104,Loan Approval AI,Customer Service,952,89.83,89.4,3,20,5,4,7747,5.47,73,High,Violation,North UK
RID0016,Sep,M104,Loan Approval AI,Sales,3740,94.41,93.42,8,15,25,1,8576,5.42,30,High,Review Required,London
RID0017,Mar,M104,Loan Approval AI,Customer Service,4099,69.87,72.85,4,29,13,0,7237,4.61,232,Critical,Compliant,North UK
RID0018,Nov,M105,Inventory Forecast AI,Customer Service,4508,75.21,78.04,0,35,21,0,14761,2.73,186,Critical,Compliant,North UK
RID0019,Jul,M103,Fraud Detection AI,Customer Service,1919,71.64,74.95,7,83,16,9,4562,6.73,211,Critical,Violation,Scotland
RID0020,May,M102,Customer Support Chatbot,HR,2172,94.63,93.31,0,44,23,2,4388,8.05,29,Medium,Review Required,London
RID0021,Sep,M105,Inventory Forecast AI,Sales,3544,79.82,81.77,0,20,10,2,11036,3.67,151,High,Review Required,Midlands
RID0022,Feb,M104,Loan Approval AI,Sales,3789,81.32,82.87,1,9,23,3,2966,3.55,137,High,Review Required,Scotland
RID0023,Nov,M101,Resume Screening AI,Sales,4102,76.06,78.51,6,39,2,2,8310,2.67,176,High,Review Required,Scotland
RID0024,Aug,M103,Fraud Detection AI,Sales,3096,78.82,80.29,1,49,9,5,6516,4.33,159,High,Violation,London
RID0025,Feb,M101,Resume Screening AI,Operations,2134,82.99,84.31,7,13,4,5,7842,5.73,123,High,Violation,London
RID0026,Nov,M104,Loan Approval AI,HR,3365,74.72,77.58,2,55,4,1,7381,1.48,187,Critical,Review Required,Midlands
RID0027,Apr,M103,Fraud Detection AI,Finance,2447,77.41,79.4,0,67,2,6,5493,2.29,168,High,Violation,Scotland
RID0028,May,M103,Fraud Detection AI,Operations,3572,80.54,81.47,6,68,2,4,7326,6.21,146,High,Violation,Midlands
RID0029,Aug,M102,Customer Support Chatbot,Operations,867,89.5,88.52,3,32,32,5,3221,10.08,75,High,Violation,Midlands
RID0030,Sep,M105,Inventory Forecast AI,Operations,2905,80.1,81.86,8,57,14,1,10735,1.91,151,High,Review Required,North UK
RID0031,Nov,M105,Inventory Forecast AI,Customer Service,4334,67.75,71.93,3,28,9,5,10649,4.81,246,Critical,Violation,London
RID0032,Jun,M105,Inventory Forecast AI,Sales,1705,94.24,92.9,7,26,0,2,9199,3.96,32,High,Review Required,North UK
RID0033,Aug,M104,Loan Approval AI,Sales,1721,93.54,92.88,4,52,15,5,8562,4.27,37,High,Violation,London
RID0034,Aug,M105,Inventory Forecast AI,Operations,3353,76.48,79.21,4,26,15,4,11426,4.94,173,High,Violation,Midlands
RID0035,Sep,M104,Loan Approval AI,HR,4804,95.81,94.84,4,52,25,3,6117,1.93,19,Medium,Review Required,North UK
RID0036,Mar,M103,Fraud Detection AI,HR,4901,71.77,75,1,99,4,6,6374,6.38,211,Critical,Violation,North UK
RID0037,Oct,M102,Customer Support Chatbot,HR,1264,83.48,84.5,5,48,42,2,5130,8.19,121,High,Review Required,Scotland
RID0038,Mar,M102,Customer Support Chatbot,Customer Service,4195,88.42,87.64,3,20,24,5,4917,6.51,84,High,Violation,North UK
RID0039,Jun,M104,Loan Approval AI,Operations,3814,71.48,75.14,0,60,5,0,4410,4.96,218,Critical,Compliant,Scotland
RID0040,Nov,M101,Resume Screening AI,Operations,3497,73.61,77.25,15,34,15,1,5638,3.69,196,Critical,Review Required,North UK
RID0041,Jun,M101,Resume Screening AI,HR,4301,91.53,91.09,14,42,24,0,5916,2.7,58,Critical,Compliant,Scotland
RID0042,Jan,M103,Fraud Detection AI,HR,4660,96.92,94.8,3,93,25,10,4482,6.86,16,Critical,Violation,Midlands
RID0043,Jan,M102,Customer Support Chatbot,HR,4371,70.75,74.02,2,29,25,3,7274,9.04,225,Critical,Review Required,London
RID0044,Oct,M103,Fraud Detection AI,Sales,2105,76.07,78.46,3,89,16,6,5376,2.32,176,High,Violation,London
RID0045,Apr,M102,Customer Support Chatbot,Finance,2276,80.39,81.81,3,27,20,4,2483,5.31,143,High,Violation,North UK
RID0046,Nov,M105,Inventory Forecast AI,Finance,3424,71.94,74.94,0,41,3,5,10723,3.4,214,Critical,Violation,Scotland
RID0047,Feb,M102,Customer Support Chatbot,HR,1767,83.08,84.39,5,38,25,2,5686,5.61,121,High,Review Required,Scotland
RID0048,Jan,M104,Loan Approval AI,HR,3434,81.89,83.17,8,23,23,0,3192,3.82,134,High,Compliant,London
RID0049,Mar,M102,Customer Support Chatbot,Finance,1868,68.16,72.16,7,18,49,1,4403,6.12,244,Critical,Review Required,North UK
RID0050,Oct,M104,Loan Approval AI,HR,4441,82.89,83.46,5,42,10,3,7046,1.69,126,High,Review Required,North UK
RID0051,May,M103,Fraud Detection AI,Finance,4607,69.68,73.77,1,73,12,10,4981,6.02,230,Critical,Violation,Scotland
RID0052,Jan,M102,Customer Support Chatbot,Sales,1021,96.36,94.66,6,23,24,0,2006,5.77,17,Medium,Compliant,North UK
RID0053,Jan,M104,Loan Approval AI,Operations,1356,79.32,81.47,5,22,13,5,3522,5.99,155,High,Violation,Midlands
RID0054,Oct,M102,Customer Support Chatbot,Operations,3468,83.02,83.55,8,38,26,1,5588,6.2,125,High,Review Required,London
RID0055,May,M104,Loan Approval AI,HR,4672,76,78.62,8,36,13,4,3954,3.71,181,Critical,Violation,North UK
RID0056,Dec,M103,Fraud Detection AI,Operations,3840,71.22,74.77,3,46,23,4,4112,2.46,217,Critical,Violation,Scotland
RID0057,May,M104,Loan Approval AI,Operations,1674,68.4,72.11,7,42,14,1,4913,4.65,243,Critical,Review Required,London
RID0058,Sep,M104,Loan Approval AI,HR,1969,68.5,71.73,8,50,17,0,4178,7,243,Critical,Compliant,London
RID0059,Nov,M105,Inventory Forecast AI,HR,909,69.19,73.61,1,47,12,5,9377,1.64,233,Critical,Violation,North UK
RID0060,Jan,M104,Loan Approval AI,HR,4638,69.59,73.76,2,41,17,2,7172,1.6,231,Critical,Review Required,Scotland
RID0061,Jun,M101,Resume Screening AI,HR,3944,83.53,84.65,9,50,8,1,7320,2.27,120,High,Review Required,Scotland
RID0062,Jan,M101,Resume Screening AI,Finance,3478,83.77,84.2,5,53,4,4,2918,4.5,119,High,Violation,Scotland
RID0063,Nov,M101,Resume Screening AI,Finance,2724,77.13,80.03,9,45,12,2,4932,6.56,169,High,Review Required,London
RID0064,Aug,M103,Fraud Detection AI,Operations,1670,95.13,94.48,7,54,1,8,2035,6.34,23,Critical,Violation,Midlands
RID0065,Sep,M104,Loan Approval AI,HR,2559,70.25,73.91,1,42,6,4,3396,1.67,225,Critical,Violation,London
RID0066,Dec,M102,Customer Support Chatbot,Customer Service,3073,71.02,74.34,7,40,50,5,4149,8.97,220,Critical,Violation,Scotland
RID0067,Sep,M103,Fraud Detection AI,Sales,2363,89.19,89.35,3,47,9,10,2126,1.56,73,Critical,Violation,Midlands
RID0068,Jan,M104,Loan Approval AI,Customer Service,1250,72.12,75.36,2,12,0,0,3973,3.37,209,Critical,Compliant,Scotland
RID0069,Mar,M102,Customer Support Chatbot,HR,1375,71.03,74.83,0,18,29,1,4008,7.13,219,Critical,Review Required,London
RID0070,Jan,M103,Fraud Detection AI,Customer Service,2710,69.3,73.12,6,73,9,8,7144,6.49,232,Critical,Violation,North UK
RID0071,Nov,M101,Resume Screening AI,Sales,1461,92.85,92.49,11,19,21,4,5638,2.98,44,Critical,Violation,Midlands
RID0072,Aug,M103,Fraud Detection AI,Sales,4794,94.68,93.85,1,65,6,8,2257,5.98,31,Critical,Violation,Midlands
RID0073,Dec,M103,Fraud Detection AI,HR,1570,68.7,72.63,2,63,6,8,2226,3.58,237,Critical,Violation,London
RID0074,May,M105,Inventory Forecast AI,Operations,2350,77.19,80.02,0,58,9,1,9038,1.37,169,High,Review Required,Scotland
RID0075,Sep,M102,Customer Support Chatbot,Sales,4359,72.69,75.21,5,25,50,3,5321,10.36,210,Critical,Review Required,Midlands
RID0076,Jun,M105,Inventory Forecast AI,Operations,3675,88.58,89.05,5,25,23,3,10863,4.26,76,Medium,Review Required,Scotland
RID0077,Feb,M104,Loan Approval AI,HR,1986,79.48,81.03,6,16,0,2,3579,2.6,154,High,Review Required,London
RID0078,Apr,M105,Inventory Forecast AI,Sales,2209,95.66,94.46,6,31,11,2,13613,5.42,23,Medium,Review Required,London
RID0079,Aug,M103,Fraud Detection AI,Operations,1049,85.79,87.01,6,58,24,3,4960,5.35,98,Medium,Review Required,Midlands
RID0080,Dec,M103,Fraud Detection AI,Operations,1928,96.12,94.64,5,85,0,6,7360,6.75,19,High,Violation,North UK
RID0081,Dec,M101,Resume Screening AI,Sales,1355,71.06,74.61,8,59,7,4,3445,2.44,216,Critical,Violation,Scotland
RID0082,Mar,M104,Loan Approval AI,Sales,2493,89.95,89.57,6,25,8,2,4802,6.49,65,Medium,Review Required,North UK
RID0083,Apr,M101,Resume Screening AI,Operations,2547,81,82.43,9,52,3,4,6225,2.6,137,High,Violation,London
RID0084,May,M104,Loan Approval AI,Customer Service,1703,88.74,88.65,7,5,17,5,4890,6.34,75,High,Violation,Midlands
RID0085,Nov,M104,Loan Approval AI,Finance,2416,68.24,72.06,0,46,21,5,7301,6.1,246,Critical,Violation,North UK
RID0086,Nov,M101,Resume Screening AI,Operations,1229,96.45,94.86,10,60,1,2,8190,2.19,19,High,Review Required,Scotland
RID0087,Apr,M102,Customer Support Chatbot,Operations,1623,83.5,84.36,8,60,20,1,3026,6.92,117,High,Review Required,London
RID0088,Apr,M105,Inventory Forecast AI,Finance,992,88.61,88.47,6,10,17,4,9717,5.26,77,High,Violation,Scotland
RID0089,Sep,M104,Loan Approval AI,HR,2450,95.06,94.44,4,60,1,5,3818,3.09,24,High,Violation,North UK
RID0090,Oct,M103,Fraud Detection AI,Finance,932,78.93,80.37,2,92,0,10,6085,3.66,160,Critical,Violation,Scotland
RID0091,Jan,M103,Fraud Detection AI,Finance,1015,93.47,92.08,1,87,19,6,4513,2.53,41,High,Violation,London
RID0092,Sep,M105,Inventory Forecast AI,Finance,1880,88.49,88.93,4,44,11,2,13267,1.31,80,Medium,Review Required,London
RID0093,Oct,M101,Resume Screening AI,Customer Service,1383,85.1,85.4,9,27,5,1,5581,4.46,110,High,Review Required,Midlands
RID0094,Jul,M101,Resume Screening AI,Operations,3106,81.56,82.96,12,35,11,3,5300,6.86,134,Critical,Review Required,North UK
RID0095,Oct,M105,Inventory Forecast AI,Finance,4887,68.24,72.08,1,60,17,0,13371,5.93,243,Critical,Compliant,Scotland
RID0096,Mar,M101,Resume Screening AI,Customer Service,3824,84.16,85.1,5,8,17,5,7045,4.73,116,High,Violation,Midlands
RID0097,Nov,M105,Inventory Forecast AI,Customer Service,3453,74.13,76.9,6,21,10,4,12760,4.2,194,Critical,Violation,London
RID0098,Jul,M102,Customer Support Chatbot,Operations,1024,95.67,94.27,0,28,41,2,3790,8.73,19,Medium,Review Required,North UK
RID0099,Oct,M104,Loan Approval AI,Finance,2240,69.58,74.19,5,57,0,3,5956,5.81,228,Critical,Review Required,London
RID0100,Oct,M102,Customer Support Chatbot,Sales,2080,76.95,79.79,3,57,27,4,6328,8.47,171,High,Violation,London
RID0101,Mar,M102,Customer Support Chatbot,HR,3821,74.94,77.2,8,20,24,1,3818,6.1,188,Critical,Review Required,Scotland
RID0102,Aug,M105,Inventory Forecast AI,HR,4331,77.79,79.81,3,6,10,1,13522,2.22,166,High,Review Required,Midlands
RID0103,Sep,M104,Loan Approval AI,Finance,4261,96.2,94.84,6,28,20,0,7512,2.09,15,Medium,Compliant,London
RID0104,Jun,M102,Customer Support Chatbot,Operations,4711,95.13,93.37,1,41,30,3,6578,7.62,28,Medium,Review Required,Midlands
RID0105,Sep,M101,Resume Screening AI,HR,3730,71.07,73.98,10,58,8,0,8940,3.71,221,Critical,Compliant,North UK
RID0106,Mar,M102,Customer Support Chatbot,Finance,1081,91.67,90.98,5,33,20,4,7702,10,55,High,Violation,Scotland
RID0107,Jun,M105,Inventory Forecast AI,Finance,1002,82.71,84.2,7,7,20,5,10258,6.83,125,High,Violation,Scotland
RID0108,May,M102,Customer Support Chatbot,Customer Service,1461,77,79.93,8,42,35,4,4025,8.29,170,High,Violation,Midlands
RID0109,Aug,M101,Resume Screening AI,Finance,2162,82.04,83.6,10,30,10,0,2552,4.94,133,High,Compliant,London
RID0110,Apr,M103,Fraud Detection AI,Customer Service,4672,70.51,73.6,4,79,2,10,2488,4.29,225,Critical,Violation,North UK
RID0111,Jan,M101,Resume Screening AI,Finance,3090,87.08,86.86,5,53,3,2,7872,1.84,95,Medium,Review Required,London
RID0112,Dec,M105,Inventory Forecast AI,HR,4609,83.48,84.45,0,30,16,4,12339,4.24,120,High,Violation,Scotland
RID0113,Apr,M102,Customer Support Chatbot,HR,4320,67.81,71.8,3,24,31,2,8620,9.36,248,Critical,Review Required,Scotland
RID0114,Oct,M104,Loan Approval AI,Operations,3783,84.62,85.66,6,32,13,1,7582,1.29,113,Medium,Review Required,Scotland
RID0115,Jun,M101,Resume Screening AI,Operations,1329,74.85,77.76,5,31,10,3,2726,1.05,189,Critical,Review Required,Scotland
RID0116,Mar,M104,Loan Approval AI,Sales,4578,79.68,81.13,7,59,0,3,6100,6.06,153,High,Review Required,Midlands
RID0117,Jan,M103,Fraud Detection AI,HR,2360,79.75,81.69,3,48,11,9,6982,1.49,149,Critical,Violation,London
RID0118,Jun,M104,Loan Approval AI,Operations,1581,92.47,91.56,2,51,11,1,3575,2.98,45,Low,Review Required,Midlands
RID0119,Aug,M103,Fraud Detection AI,Finance,4888,80.55,82.18,1,94,3,9,6551,5.96,144,Critical,Violation,Midlands
RID0120,Apr,M104,Loan Approval AI,Sales,4577,67.75,71.97,6,49,19,4,8809,1.64,246,Critical,Violation,London
RID0121,Feb,M101,Resume Screening AI,HR,3785,69.23,73.45,13,32,19,2,7548,1.44,235,Critical,Review Required,Midlands
RID0122,Jul,M105,Inventory Forecast AI,Operations,1368,88.71,88.22,4,32,20,5,13041,6.38,81,High,Violation,Midlands
RID0123,Jan,M105,Inventory Forecast AI,Finance,948,70.62,74.8,2,55,21,1,10894,1.94,221,Critical,Review Required,London
RID0124,Nov,M101,Resume Screening AI,Sales,4727,74.52,77.09,13,9,19,0,6324,6.26,194,Critical,Compliant,London
RID0125,Feb,M102,Customer Support Chatbot,Customer Service,3711,81.25,82.95,7,55,47,2,2646,6.65,140,High,Review Required,London
RID0126,Dec,M101,Resume Screening AI,Customer Service,4624,70.99,74.08,10,25,15,4,2264,3.5,220,Critical,Violation,Midlands
RID0127,Feb,M102,Customer Support Chatbot,HR,4636,83.87,84.72,3,12,37,0,3182,7.95,116,Medium,Compliant,North UK
RID0128,Mar,M104,Loan Approval AI,Operations,1800,94.3,93.06,3,32,12,1,3146,4.52,30,Low,Review Required,Scotland
RID0129,Oct,M101,Resume Screening AI,Finance,3595,79.69,80.75,13,14,12,1,6203,5.72,154,Critical,Review Required,Midlands
RID0130,Feb,M103,Fraud Detection AI,HR,2234,88.4,88.28,0,52,22,7,3690,2.52,81,Critical,Violation,Scotland
RID0131,Mar,M101,Resume Screening AI,Operations,2208,76.56,78.76,12,7,20,1,2286,2.02,173,Critical,Review Required,London
RID0132,Jan,M104,Loan Approval AI,Finance,4017,94.25,92.96,4,44,1,0,3279,5,31,Medium,Compliant,London
RID0133,Jun,M105,Inventory Forecast AI,Finance,2200,69.42,73.28,4,28,6,3,10579,6.62,231,Critical,Review Required,London
RID0134,Sep,M102,Customer Support Chatbot,Operations,1676,87.2,86.85,1,56,25,1,5246,8.06,93,Medium,Review Required,London
RID0135,Oct,M101,Resume Screening AI,Sales,2820,96.62,94.21,8,6,23,1,7683,3.76,18,High,Review Required,North UK
RID0136,Dec,M103,Fraud Detection AI,Finance,4243,78.34,80.47,2,86,7,4,7714,1.34,164,High,Violation,Scotland
RID0137,Sep,M103,Fraud Detection AI,Operations,863,67.79,71.56,1,79,7,3,7949,4.6,249,Critical,Review Required,North UK
RID0138,Mar,M102,Customer Support Chatbot,Operations,1852,93.95,92.74,3,42,36,0,2945,7.43,37,Low,Compliant,Scotland
RID0139,Aug,M104,Loan Approval AI,HR,4452,71.65,75.12,3,48,10,5,7727,5.38,217,Critical,Violation,North UK
